,"Bezirk
—
Geschlecht","Bevöl-
kerung",total,unter 15,15 – 45,45 – 65,"65 und
mehr"
0,Mitte ,i,350.045258,48.609308,172.336926,81.994692,47.104332
1,,m,181.314807,24.014335,91.960751,45.215593,20.124128
2,,w,168.730451,24.594973,80.376175,36.779099,26.980204
3,Friedrichshain-Kreuzberg ,i,268.627663,38.303358,149.9756,57.318981,23.029724
4,,m,138.300449,19.965386,76.708813,31.313367,10.312883
5,,w,130.327214,18.337972,73.266787,26.005614,12.716841
6,Pankow ,i,379.262404,52.658956,178.197926,90.745411,57.660111
7,,m,182.182356,26.354271,85.882076,46.173479,23.77253
8,,w,197.080048,26.304685,92.31585,44.571932,33.887581
9,Charlottenburg-Wilmersdorf ,i,307.451648,37.754096,110.161517,90.819205,68.71683
10,,m,149.732123,20.669052,54.641547,44.975285,29.446239
11,,w,157.719525,17.085044,55.51997,45.84392,39.270591
12,Spandau ,i,226.739026,25.767626,75.480753,66.293811,59.196836
13,,m,110.257271,12.540488,39.577525,33.877227,24.262031
14,,w,116.481755,13.227138,35.903228,32.416584,34.934805
15,Steglitz-Zehlendorf ,i,286.268102,35.724683,84.798093,86.25621,79.489116
16,,m,126.686015,17.571847,38.323532,37.831566,32.95907
17,,w,159.582087,18.152836,46.474561,48.424644,46.530046
18,Tempelhof-Schöneberg ,i,330.073826,39.622672,117.153227,103.877663,69.420264
19,,m,159.018504,19.464675,58.217376,50.079152,31.257301
20,,w,171.055322,20.157997,58.935851,53.798511,38.162963
21,Neukölln ,i,318.596982,50.200034,140.106791,79.603929,48.686228
22,,m,155.536878,26.291744,67.307241,41.802767,20.135126
23,,w,163.060104,23.90829,72.79955,37.801162,28.551102
24,Treptow-Köpenick ,i,247.503486,30.031516,92.152113,67.707037,57.61282
25,,m,123.222768,15.613405,46.594022,35.153707,25.861634
26,,w,124.280718,14.418111,45.558091,32.55333,31.751186
27,Marzahn-Hellersdorf ,i,253.531513,35.830651,83.580077,86.582025,47.53876
28,,m,128.034293,19.414143,43.793068,41.998746,22.828336
29,,w,125.49722,16.416508,39.787009,44.583279,24.710424
30,Lichtenberg ,i,267.275009,31.893583,108.919662,70.098264,56.3635
31,,m,133.253383,17.512154,56.090813,35.488315,24.162101
32,,w,134.021626,14.381429,52.828849,34.609949,32.201399
33,Reinickendorf ,i,250.530551,30.677395,80.990849,70.567961,68.294346
34,,m,118.148584,14.783057,39.786015,34.510832,29.06868
35,,w,132.381967,15.894338,41.204834,36.057129,39.225666
36,Land Berlin,i,3485.905468,457.073878,1393.853534,951.865189,683.112867
37,,m,1705.687431,234.194557,698.882779,478.420036,294.190059
38,,w,1780.218037,222.879321,694.970755,473.445153,388.922808
