,Bezirk - Geschlecht,Unnamed: 1,Unnamed: 2,Erwerbspersonen  - Erwerbstätige,Erwerbs- Erwerbslose,Nicht- erwerbs- personen
0,Mitte ,i,350.045258,162.758944,27.927173,159.359141
1,,m,181.314807,91.157445,16.193507,73.963855
2,,w,168.730451,71.601499,11.733666,85.395286
3,Friedrichshain-Kreuzberg ,i,268.627663,150.746367,13.218225,104.663071
4,,m,138.300449,83.136133,7.943536,47.22078
5,,w,130.327214,67.610234,5.274689,57.442291
6,Pankow ,i,379.262404,215.661672,13.156132,150.4446
7,,m,182.182356,105.612804,7.802514,68.767038
8,,w,197.080048,110.048868,5.353618,81.677562
9,Charlottenburg-Wilmersdorf ,i,307.451648,148.052639,11.376723,148.022286
10,,m,149.732123,76.93133,7.246817,65.553976
11,,w,157.719525,71.121309,/,82.46831
12,Spandau ,i,226.739026,85.88463,11.825503,129.028893
13,,m,110.257271,49.021039,7.27753,53.958702
14,,w,116.481755,36.863591,/,75.070191
15,Steglitz-Zehlendorf ,i,286.268102,124.24909,6.578624,155.440388
16,,m,126.686015,59.421785,/,64.007693
17,,w,159.582087,64.827305,/,91.432695
18,Tempelhof-Schöneberg ,i,330.073826,158.762977,17.237304,154.073545
19,,m,159.018504,79.776904,10.643031,68.598569
20,,w,171.055322,78.986073,6.594273,85.474976
21,Neukölln ,i,318.596982,135.798943,21.514225,161.283814
22,,m,155.536878,72.283829,12.809885,70.443164
23,,w,163.060104,63.515114,8.70434,90.84065
24,Treptow-Köpenick ,i,247.503486,124.579748,8.943868,113.97987
25,,m,123.222768,66.36845,5.034253,51.820065
26,,w,124.280718,58.211298,/,62.159805
27,Marzahn-Hellersdorf ,i,253.531513,122.878367,13.412954,117.240192
28,,m,128.034293,63.933457,8.40283,55.698006
29,,w,125.49722,58.94491,5.010124,61.542186
30,Lichtenberg ,i,267.275009,126.556203,15.004775,125.714031
31,,m,133.253383,65.10789,9.863732,58.281761
32,,w,134.021626,61.448313,5.141043,67.43227
33,Reinickendorf ,i,250.530551,100.336157,12.470902,137.723492
34,,m,118.148584,51.569413,6.39482,60.184351
35,,w,132.381967,48.766744,6.076082,77.539141
36,Land Berlin,i,3485.905468,1656.2,172.666408,1656.973323
37,,m,1705.687431,864.320479,102.868992,738.49796
38,,w,1780.218037,791.945258,69.797416,918.475363
